transaction_id,date,description,amount,transaction_type,category,location,account,source_month,date_raw,amount_raw,source_file
TXN000079,2026-02-05,Walmart Supercenter,-224.78,debit,Groceries,"Dallas, Tx",Checking,February 2026,2026-02-05,-$224.78,february_2026.csv
TXN000082,2026-02-27,Electric Bill - Oncor,-185.61,debit,Utilities,Online / Unknown,Savings,February 2026,"February 27, 2026",($185.61),february_2026.csv
TXN000050,2026-02-12,Netflix Subscription,-15.49,debit,Subscriptions,Online / Unknown,Checking,February 2026,"February 12, 2026",($15.49),february_2026.csv
TXN000059,2026-02-08,Dominos Pizza,-44.21,debit,Dining,"Houston, Tx",Checking,February 2026,2026-02-08,-$44.21,february_2026.csv
TXN000076,2026-02-03,Lyft Ride,-35.28,debit,Transport,Online / Unknown,Checking,February 2026,2026-02-03,-$35.28,february_2026.csv
TXN000072,2026-02-22,Amazon Mktplace Pmts,-138.05,debit,Shopping,Online / Unknown,Savings,February 2026,2026-02-22,-138.05,february_2026.csv
TXN000052,2026-02-04,Chipotle Mexican Grill,-11.81,debit,Dining,"Austin, Tx",Savings,February 2026,"February 4, 2026",-11.81,february_2026.csv
TXN000073,2026-02-13,Walmart Supercenter,-86.41,debit,Groceries,Online / Unknown,Savings,February 2026,2026-02-13,-86.41,february_2026.csv
TXN000070,2026-02-22,Starbucks Store 14122,-11.78,debit,Dining,Online / Unknown,Savings,February 2026,22/02/2026,($11.78),february_2026.csv
TXN000061,2026-02-09,Dominos Pizza,-37.98,debit,Dining,"Houston, Tx",Savings,February 2026,2026-02-09,-$37.98,february_2026.csv
TXN000063,2026-02-08,Walmart #4821,-122.21,debit,Groceries,Online / Unknown,Checking,February 2026,08/02/2026,($122.21),february_2026.csv
TXN000054,2026-02-27,Unknown,-15.49,debit,Uncategorised,Online / Unknown,Savings,February 2026,27/02/2026,-15.49,february_2026.csv
TXN000062,2026-02-08,Shell Gas Station,-69.91,debit,Transport,"Dallas, Tx",Checking,February 2026,08/02/2026,($69.91),february_2026.csv
TXN000058,2026-02-22,Lyft Ride,-35.01,debit,Transport,Online / Unknown,Checking,February 2026,22/02/2026,($35.01),february_2026.csv
TXN000065,2026-02-01,Unknown,-13.59,debit,Uncategorised,"Austin, Tx",Savings,February 2026,01/02/2026,-13.59,february_2026.csv
TXN000055,2026-02-06,Electric Bill - Oncor,-137.24,debit,Utilities,Online / Unknown,Checking,February 2026,06/02/2026,-$137.24,february_2026.csv
TXN000078,2026-02-21,Shell Gas Station,-64.51,debit,Transport,"Dallas, Tx",Checking,February 2026,21/02/2026,($64.51),february_2026.csv
TXN000046,2026-02-03,Best Buy,-411.56,debit,Shopping,Online / Unknown,Savings,February 2026,"February 3, 2026",($411.56),february_2026.csv
TXN000071,2026-02-11,Ebay Purchase,-130.04,debit,Shopping,Online / Unknown,Savings,February 2026,"February 11, 2026",-$130.04,february_2026.csv
TXN000051,2026-02-22,Spotify Usa,-9.99,debit,Subscriptions,Online / Unknown,Checking,February 2026,2026-02-22,($9.99),february_2026.csv
